reference_date,target,location,output_type,output_type_id,value
2026-09-15,cumulative cases,CD,quantile,0.025,8584
2026-09-15,cumulative cases,CD,quantile,0.1,9087
2026-09-15,cumulative cases,CD,quantile,0.25,10017
2026-09-15,cumulative cases,CD,quantile,0.5,11292
2026-09-15,cumulative cases,CD,quantile,0.75,12850
2026-09-15,cumulative cases,CD,quantile,0.9,14511
2026-09-15,cumulative cases,CD,quantile,0.975,18842
2026-09-15,cumulative cases,CD,median,NA,11292
2026-09-15,cumulative cases,CD,mean,NA,11679
