reference_date,target,location,output_type,output_type_id,value
2026-09-02,cumulative cases,CD,quantile,0.025,8584
2026-09-02,cumulative cases,CD,quantile,0.1,9643
2026-09-02,cumulative cases,CD,quantile,0.25,10435
2026-09-02,cumulative cases,CD,quantile,0.5,11995
2026-09-02,cumulative cases,CD,quantile,0.75,13794
2026-09-02,cumulative cases,CD,quantile,0.9,16139
2026-09-02,cumulative cases,CD,quantile,0.975,20625
2026-09-02,cumulative cases,CD,median,NA,11995
2026-09-02,cumulative cases,CD,mean,NA,12499
