reference_date,target,location,output_type,output_type_id,value
2026-07-04,cumulative cases,CD,quantile,0.025,2985
2026-07-04,cumulative cases,CD,quantile,0.1,3472
2026-07-04,cumulative cases,CD,quantile,0.25,3955
2026-07-04,cumulative cases,CD,quantile,0.5,4598
2026-07-04,cumulative cases,CD,quantile,0.75,5477
2026-07-04,cumulative cases,CD,quantile,0.9,6474
2026-07-04,cumulative cases,CD,quantile,0.975,8124
2026-07-04,cumulative cases,CD,median,NA,4598
2026-07-04,cumulative cases,CD,mean,NA,4823
