reference_date,target,location,output_type,output_type_id,value
2026-08-04,cumulative cases,CD,quantile,0.025,5324
2026-08-04,cumulative cases,CD,quantile,0.1,5996
2026-08-04,cumulative cases,CD,quantile,0.25,6848
2026-08-04,cumulative cases,CD,quantile,0.5,7629
2026-08-04,cumulative cases,CD,quantile,0.75,8721
2026-08-04,cumulative cases,CD,quantile,0.9,9702
2026-08-04,cumulative cases,CD,quantile,0.975,11397
2026-08-04,cumulative cases,CD,median,NA,7629
2026-08-04,cumulative cases,CD,mean,NA,7815
