reference_date,target,location,output_type,output_type_id,value
2026-08-20,cumulative cases,CD,quantile,0.025,7073
2026-08-20,cumulative cases,CD,quantile,0.1,8036
2026-08-20,cumulative cases,CD,quantile,0.25,9057
2026-08-20,cumulative cases,CD,quantile,0.5,10312
2026-08-20,cumulative cases,CD,quantile,0.75,12464
2026-08-20,cumulative cases,CD,quantile,0.9,14279
2026-08-20,cumulative cases,CD,quantile,0.975,17129
2026-08-20,cumulative cases,CD,median,NA,10312
2026-08-20,cumulative cases,CD,mean,NA,10891
