reference_date,target,location,output_type,output_type_id,value
2026-08-27,cumulative cases,CD,quantile,0.025,7995
2026-08-27,cumulative cases,CD,quantile,0.1,8927
2026-08-27,cumulative cases,CD,quantile,0.25,9855
2026-08-27,cumulative cases,CD,quantile,0.5,11194
2026-08-27,cumulative cases,CD,quantile,0.75,13626
2026-08-27,cumulative cases,CD,quantile,0.9,15218
2026-08-27,cumulative cases,CD,quantile,0.975,17154
2026-08-27,cumulative cases,CD,median,NA,11194
2026-08-27,cumulative cases,CD,mean,NA,11785
