reference_date,target,location,output_type,output_type_id,value
2026-07-28,cumulative cases,CD,quantile,0.025,4607
2026-07-28,cumulative cases,CD,quantile,0.1,4789
2026-07-28,cumulative cases,CD,quantile,0.25,5124
2026-07-28,cumulative cases,CD,quantile,0.5,5956
2026-07-28,cumulative cases,CD,quantile,0.75,7047
2026-07-28,cumulative cases,CD,quantile,0.9,7934
2026-07-28,cumulative cases,CD,quantile,0.975,9200
2026-07-28,cumulative cases,CD,median,NA,5956
2026-07-28,cumulative cases,CD,mean,NA,6235
