reference_date,target,location,output_type,output_type_id,value
2026-07-26,cumulative cases,CD,quantile,0.025,4616
2026-07-26,cumulative cases,CD,quantile,0.1,4773
2026-07-26,cumulative cases,CD,quantile,0.25,5323
2026-07-26,cumulative cases,CD,quantile,0.5,6007
2026-07-26,cumulative cases,CD,quantile,0.75,7099
2026-07-26,cumulative cases,CD,quantile,0.9,9092
2026-07-26,cumulative cases,CD,quantile,0.975,10439
2026-07-26,cumulative cases,CD,median,NA,6007
2026-07-26,cumulative cases,CD,mean,NA,6448
