reference_date,target,location,output_type,output_type_id,value
2026-07-11,cumulative cases,CD,quantile,0.025,2921
2026-07-11,cumulative cases,CD,quantile,0.1,3227
2026-07-11,cumulative cases,CD,quantile,0.25,3474
2026-07-11,cumulative cases,CD,quantile,0.5,3924
2026-07-11,cumulative cases,CD,quantile,0.75,4649
2026-07-11,cumulative cases,CD,quantile,0.9,5461
2026-07-11,cumulative cases,CD,quantile,0.975,6296
2026-07-11,cumulative cases,CD,median,NA,3924
2026-07-11,cumulative cases,CD,mean,NA,4136
