reference_date,target,location,output_type,output_type_id,value
2026-09-03,cumulative cases,CD,quantile,0.025,8126
2026-09-03,cumulative cases,CD,quantile,0.1,9412
2026-09-03,cumulative cases,CD,quantile,0.25,10565
2026-09-03,cumulative cases,CD,quantile,0.5,12543
2026-09-03,cumulative cases,CD,quantile,0.75,14851
2026-09-03,cumulative cases,CD,quantile,0.9,16479
2026-09-03,cumulative cases,CD,quantile,0.975,17728
2026-09-03,cumulative cases,CD,median,NA,12543
2026-09-03,cumulative cases,CD,mean,NA,12680
